AGUA BRANCA,-9.260,-37.930
ANADIA,-9.680,-36.300
ARAPIRACA,-9.750,-36.660
ATALAIA,-9.500,-36.020
BARRA DE SANTO ANTONIO,-9.400,-35.500
BARRA DE SAO MIGUEL,-9.840,-35.900
BATALHA,-9.670,-37.120
BELEM,-9.570,-36.490
BELO MONTE,-9.820,-37.280
BOCA DA MATA,-9.640,-36.220
BRANQUINHA,-9.240,-36.010
CACIMBINHAS,-9.400,-36.990
CAJUEIRO,-9.390,-36.150
CAMPESTRE,-8.840,-35.560
CAMPO ALEGRE,-9.780,-36.350
CAMPO GRANDE,-9.950,-36.790
CANAPI,-9.120,-37.600
CAPELA,-9.400,-36.070
CARNEIROS,-9.480,-37.370
CHA PRETA,-9.250,-36.290
COITE DO NOIA,-9.630,-36.570
COLONIA LEOPOLDINA,-8.900,-35.720
COQUEIRO SECO,-9.630,-35.800
CORURIPE,-10.120,-36.170
CRAIBAS,-9.610,-36.760
DELMIRO GOUVEIA,-9.380,-37.990
DOIS RIACHOS,-9.390,-37.100
ESTRELA DE ALAGOAS,-9.390,-36.760
FEIRA GRANDE,-9.900,-36.670
FELIZ DESERTO,-10.290,-36.300
FLEXEIRAS,-9.270,-35.710
GIRAU DO PONCIANO,-9.880,-36.820
IBATEGUARA,-8.970,-35.930
IGACI,-9.530,-36.630
IGREJA NOVA,-10.120,-36.660
INHAPI,-9.210,-37.750
JACARE DOS HOMENS,-9.630,-37.200
JACUIPE,-8.840,-35.460
JAPARATINGA,-9.080,-35.250
JARAMATAIA,-9.650,-37.000
JOAQUIM GOMES,-9.130,-35.740
JUNDIA,-8.930,-35.570
JUNQUEIRO,-9.920,-36.470
LAGOA DA CANOA,-9.830,-36.730
LIMOEIRO DE ANADIA,-9.740,-36.500
MACEIO,-9.660,-35.730
MAJOR ISIDORO,-9.530,-36.980
MAR VERMELHO,-9.440,-36.380
MARAGOGI,-9.010,-35.220
MARAVILHA,-9.230,-37.350
MARECHAL DEODORO,-9.710,-35.890
MARIBONDO,-9.570,-36.300
MATA GRANDE,-9.110,-37.730
MATRIZ DE CAMARAGIBE,-9.150,-35.530
MESSIAS,-9.380,-35.840
MINADOR DO NEGRAO,-9.300,-36.860
MONTEIROPOLIS,-9.600,-37.240
MURICI,-9.300,-35.940
NOVO LINO,-8.910,-35.640
OLHO DAGUA DAS FLORES,-9.530,-37.290
OLHO DAGUA DO CASADO,-9.500,-37.830
OLHO DAGUA GRANDE,-10.050,-36.810
OLIVENCA,-9.510,-37.190
OURO BRANCO,-9.160,-37.350
PALESTINA,-9.670,-37.320
PALMEIRA DOS INDIOS,-9.400,-36.620
PAO DE ACUCAR,-9.740,-37.430
PARICONHA,-9.250,-38.000
PARIPUEIRA,-9.460,-35.550
PASSO DE CAMARAGIBE,-9.230,-35.490
PAULO JACINTO,-9.360,-36.370
PENEDO,-10.290,-36.580
PIACABUCU,-10.400,-36.430
PILAR,-9.590,-35.950
PINDOBA,-9.470,-36.290
PIRANHAS,-9.620,-37.750
POCO DAS TRINCHEIRAS,-9.310,-37.280
PORTO CALVO,-9.040,-35.390
PORTO DE PEDRAS,-9.150,-35.290
PORTO REAL DO COLEGIO,-10.180,-36.840
QUEBRANGULO,-9.310,-36.470
RIO LARGO,-9.470,-35.850
ROTEIRO,-9.830,-35.970
SANTA LUZIA DO NORTE,-9.600,-35.820
SANTANA DO IPANEMA,-9.370,-37.240
SANTANA DO MUNDAU,-9.160,-36.220
SAO BRAS,-10.120,-36.900
SAO JOSE DA LAJE,-9.010,-36.050
SAO JOSE DA TAPERA,-9.550,-37.380
SAO LUIS DO QUITUNDE,-9.310,-35.560
SAO MIGUEL DOS CAMPOS,-9.780,-36.090
SAO MIGUEL DOS MILAGRES,-9.260,-35.370
SAO SEBASTIAO,-9.930,-36.550
SATUBA,-9.560,-35.820
SENADOR RUI PALMEIRA,-9.350,-37.500
TANQUE DARCA,-9.530,-36.430
TAQUARANA,-9.640,-36.490
TEOTONIO VILELA,-9.900,-36.350
TRAIPU,-9.970,-37.000
UNIAO DOS PALMARES,-9.160,-36.030
VICOSA,-9.370,-36.240
